title,audience_rating,genre,critic_rating,runtime,votes,gross,year
Space Jam: Uma Nova Era,4.5,"Animation, Adventure, Comedy",36,115 min,77212,"70,592,228",2021
Foundation,7.5,"Drama, Sci-Fi",N/A,60 min,76697,N/A,2021
Ginny & Georgia,7.5,"Comedy, Drama",N/A,N/A,75006,N/A,2021
Yellowjackets,7.8,"Drama, Horror, Mystery",N/A,60 min,74198,N/A,2021
Spencer,6.6,"Biography, Drama",76,117 min,73448,N/A,2021
O Príncipe volta a Nova Iorque,5.3,"Comedy, Music",52,110 min,73235,N/A,2021
Candyman,5.9,"Horror, Thriller",72,91 min,72077,"61,186,570",2021
Rua do Medo - Parte 2: 1978,6.7,"Drama, Horror, Mystery",61,109 min,71280,N/A,2021
A Filha Perdida,6.7,Drama,86,121 min,71225,N/A,2021
Por Trás dos Seus Olhos,7.2,"Drama, Mystery, Thriller",N/A,298 min,69763,N/A,2021
Dopesick,8.6,Drama,N/A,492 min,68788,N/A,2021
The Harder They Fall,6.6,"Action, Drama, Western",68,139 min,68484,N/A,2021
The Batman,7.8,"Action, Crime, Drama",72,176 min,725892,"369,345,583",2022
Top Gun: Maverick,8.3,"Action, Drama",78,130 min,626393,"718,732,821",2022
The Kashmir Files,8.6,Drama,N/A,170 min,571148,N/A,2022
Tudo em Todo o Lado ao Mesmo Tempo,7.8,"Action, Adventure, Comedy",81,139 min,475514,"72,861,480",2022
Avatar: O Caminho da Água,7.6,"Action, Adventure, Fantasy",67,192 min,454419,"659,682,302",2022
Doutor Estranho no Multiverso da Loucura,6.9,"Action, Adventure, Fantasy",60,126 min,451529,"411,331,607",2022
Glass Onion: Um Mistério Knives Out,7.1,"Comedy, Crime, Drama",81,139 min,408814,N/A,2022
Bullet Train: Comboio Bala,7.3,"Action, Comedy, Thriller",49,127 min,382636,"103,368,602",2022
Thor: Amor e Trovão,6.2,"Action, Adventure, Comedy",57,118 min,376441,"343,256,830",2022
O Menu,7.2,"Comedy, Horror, Thriller",71,107 min,345637,N/A,2022
House of the Dragon,8.5,"Action, Adventure, Drama",N/A,N/A,339059,N/A,2022
O Senhor dos Anéis: Os Anéis do Poder,7.0,"Action, Adventure, Drama",N/A,N/A,337383,N/A,2022
Wednesday,8.1,"Comedy, Crime, Fantasy",N/A,45 min,331501,N/A,2022
Black Panther: Wakanda para Sempre,6.7,"Action, Adventure, Drama",67,161 min,283883,"453,721,831",2022
Black Adam,6.3,"Action, Adventure, Fantasy",41,125 min,257934,"168,152,111",2022
Moon Knight: Cavaleiro da Lua,7.3,"Action, Adventure, Fantasy",N/A,287 min,252378,N/A,2022
Nope,6.8,"Horror, Mystery, Sci-Fi",77,130 min,241997,"123,277,080",2022
Uncharted,6.3,"Action, Adventure",45,116 min,236217,"148,648,820",2022
O Homem do Norte,7.0,"Action, Adventure, Drama",82,137 min,235002,"34,233,110",2022
